"","score","text"
"57",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"58",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"59",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"60",0,"#BiharPolls | #Nitish does not talk about electricity because he knows people will question him on his promise:PM @narendramodi"
"61",-1,"To hamper progrs-unity led by @narendramodi @BJP4India @AmitShah in India ..Dumb pol come 2gdr #Sonia #Rahul #Lalu #Nitish @ArvindKejriwal"
"62",-1,"Rampant #illiteracy proof of #Lalu - #Nitish’s misdeeds in #Bihar: PM #Modi - https://t.co/6uLaNbuGjU
#BJP #RJD #JDU https://t.co/ADKb8yrVjf"
"63",-1,"#BiharPolls 2015: #Giriraj slams #Lalu, #Nitish for challenging PM #Modi for debate - https://t.co/SHwJsFPzgX https://t.co/lDoVtCLpoP"
"64",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"65",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"66",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/7k5aBU6BPs"
"67",0,"@DrGarekar What was the motive of #Nitish to give advertisement in Pak news paper The Dawn.Why media do not raise this Q.?  @ZeeNews"
"68",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"69",0,"#Nitish-Lalu together sought religion-based quotas in 2005: Modi #jobs #money #work #: Prime Minister Modi at ... https://t.co/NipihMPfkC"
