"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:32:55,FALSE,NA,"659392409084694529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kamarajdisciple",30,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:28:35,FALSE,NA,"659391316485246976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ind_inclusive",30,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:27:48,FALSE,NA,"659391121248776192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","freetohumanity",30,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:26:11,FALSE,NA,"659390713151426560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akshayamukul",30,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:25:38,FALSE,NA,"659390572818358272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhishek1122",30,TRUE,FALSE,NA,NA
"In 65 yrs, particulrly in last 10yrs, #Cong stand fully exposed, #Lalu has bn a degree greedier den Cong ...whl #Nitish is congruent to both",FALSE,0,NA,2015-10-28 15:22:33,FALSE,NA,"659389799959138304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","welworth",0,FALSE,FALSE,NA,NA
"#Lalu Cant Develop #Bihar - Deleted Tweet https://t.co/apf4dzNkJU via @YouTube",FALSE,0,NA,2015-10-28 15:22:08,FALSE,NA,"659389694271033344",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","ojforu",0,FALSE,FALSE,NA,NA
"#Lalu, #Rabri cast their #ballot https://t.co/dy1JNgzM2M",FALSE,0,NA,2015-10-28 15:18:22,FALSE,NA,"659388746329001986",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Maya_Today",0,FALSE,FALSE,NA,NA
"#Lalu, #Rabri cast their #ballot https://t.co/0lJYODTXBK",FALSE,0,NA,2015-10-28 15:18:20,FALSE,NA,"659388735444897792",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","MayaTodayNews",0,FALSE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 15:18:07,FALSE,NA,"659388681065730049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","journopolana",114,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:17:54,FALSE,NA,"659388627529560064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","raman_anuradha",30,TRUE,FALSE,NA,NA
"RT @SankarshanT: Just over:#Lalu rally in Vaishali: 'If this is a jungle, why is #Modi hovering about? Chase him out' #BiharPolls https://t…",FALSE,0,NA,2015-10-28 15:17:19,FALSE,NA,"659388480955379712",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","VyasNeena",30,TRUE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 15:15:17,FALSE,NA,"659387970282061824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maulinshah9",114,TRUE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 15:14:33,FALSE,NA,"659387787053957121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NARPATSHETH",114,TRUE,FALSE,NA,NA
"#NitishKumar knows this but won't say. He'll be a mask of #Lalu, who will get his two Pappus as Ministers &amp; rule. https://t.co/nWTIf15Y40",FALSE,0,NA,2015-10-28 15:08:51,FALSE,NA,"659386352375435264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bimal_pr",0,FALSE,FALSE,NA,NA
"Ha ha, Prabhunath ji, #Lalu ji ka supra saf Chapra me https://t.co/CX6xlPEobK",FALSE,1,NA,2015-10-28 15:03:31,FALSE,NA,"659385009573244928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ganeshmahnar",1,FALSE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 15:00:24,FALSE,NA,"659384224479219713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sushila840893",114,TRUE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 14:57:35,FALSE,NA,"659383515025293312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drmahendamor",114,TRUE,FALSE,NA,NA
"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…",FALSE,0,NA,2015-10-28 14:56:42,FALSE,NA,"659383293247225856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AMuskeeter",114,TRUE,FALSE,NA,NA
