"","score","text"
"119",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"120",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/Tb1oJgI0mI https://t.co/jPWqVOhVHD"
"121",1,"Who is winning #BiharElections 2015? #BiharPolls #Modi #NitishKumar #Lalu #BJP #JDU #RJD #Congress"
"122",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"123",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"124",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"125",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"126",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"127",0,"RT @IndiaToday: MUST WATCH | @narendramodi, #Lalu in a musical fight over #Bihar elections

https://t.co/xVFdBLc12S https://t.co/zj5racJ632"
"128",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"129",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"130",1,"RT @ganeshmahnar: Talk to senior RJD leader of Vaishali District, says if Tejashwi and Tej Pratap wins, means RJD Won Bihar election. Doubt…"
"131",0,"#Lalu, Nitish sought religion quotas in 2005, says PM Narendra Modi #jobs #money #work #: In another attempt a... https://t.co/M3Y59y2Kug"
"132",2,"Talk to senior RJD leader of Vaishali District, says if Tejashwi and Tej Pratap wins, means RJD Won Bihar election. Doubtful #Lalu son win"
"133",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"134",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"135",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"136",0,"#ElectionCommission #showcause #notices to #RahulGandhi, #Lalu https://t.co/v5lVBy9WW1 https://t.co/fCsmpD3oXo"
"137",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"138",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"139",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"140",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/HMAtdIBOS3 https://t.co/DpyudRCK9S"
"141",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"142",0,"RT @EconomicTimes: #Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"143",0,"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…"
"144",0,"#Nitish-#Lalu together sought religion-based quotas in 2005: PM #Modi https://t.co/xYpwZjXdsK"
"145",-1,"Sworn #enemies r now friends....#Lalu a #convicted #criminal...sez it all... https://t.co/rKpdRm2r6i"
"146",0,"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…"
"147",0,"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…"
"148",0,"RT @Aneela_Nadar: This is Tit for Tat #Lalu ishtyle !!
#ModiBhagaoNitishJeetao 
#ModiBhagaoDeshBachao 
@Iffidel @gops333 @aawara_aatma http…"
"149",0,"Yes, Now Tearless Onion in Market
https://t.co/4C0HG7OT1M 
https://t.co/3c8kLvKd1X
 #socialmedia #startup #bjp #rjd #jdu #lalu #nitish #aap"
"150",0,"#BiharElection #Lalu #Modi
मोदी ने महिलाओं का अपमान किया है और  मोदी जी पद की गरिमा का ध्यान रखो - लालू यादव... https://t.co/v35jVuWwKW"
"151",0,"#Modi #Lalu #BiharElection
झूठ की रोटी से पूरे देश का पेट भर सकते हैं मोदी : लालू... https://t.co/QXcVzcgrTA"
"152",0,"#Modi #Lalu #BiharElection
लालू का PM Modi पर बड़ा हमला,कहा मैं बिहार का शैतान तो वह गुजरात का ब्रह्म पिचाश... https://t.co/kvqhmeJPZd"
"153",0,"#BiharElection #NitsihKumar #Modi #Lalu
मोदी ने बोला नीतीश कुमार पर बड़ा हमला और कहा नीतीश के कंप्यूटर मे ""लालू""... https://t.co/umvlfImyak"
"154",0,"गाय को भारत में माँ कहने की परंपरा शायद इसीलिए है,सम्पन्नता के क्षण में दूध के लिए,संकट के क्षण में मांस के लिय #Lalu को भी संकट में गोमांस"
